Fecha,Turno,Operario,Supervisor,Maquina_Linea,Sector,OF_Lote,Estado_Lote,Fecha_Cierre_Lote,Cod_Producto,Desc_Producto,Hora_Inicio,Hora_Fin,Tiempo_Total_min,Tiempo_Setup_min,Tiempo_Parada_min,Motivo_Parada,Tipo_Parada,Tiempo_Productivo_min,Cant_Producida,Cant_Rechazada,Unidad_Medida,Velocidad_Estandar_uh,Meta_Produccion,Cumplimiento_Meta_pct,Disponibilidad_pct,Rendimiento_pct,Calidad_pct,OEE_pct,Observaciones
2026-08-03,Mañana,OP-106,SUP-01,EXT-01,Extrusion,OF-4101,Cerrado,2026-08-06,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,0,120,Mantenimiento programado,Planificada,360.0,4942,31,metros,950,6232,79.3,75,86.7,99.4,64.6,
2026-08-03,Mañana,OP-106,SUP-01,EXT-02,Extrusion,OF-4102,Cerrado,2026-08-05,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,45,85,falla electrica,No Planificada,350.0,5103,37,metros,950,6232,81.9,72.9,92.1,99.3,66.7,
2026-08-03,Mañana,OP-106,SUP-01,TRZ-01,Trenzado,OF-4103,Cerrado,2026-08-04,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,30,50,Falla mecanica,No Planificada,400.0,7733,91,metros,1200,7871,98.2,83.3,96.7,98.8,79.6,
2026-08-03,Tarde,OP-104,SUP-02,EXT-01,Extrusion,OF-4104,Abierto,,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,0,0,,,480.0,6552,113,metros,950,6232,105.1,100,86.2,98.3,84.7,
2026-08-03,Tarde,OP-106,SUP-02,EXT-02,Extrusion,OF-4105,Cerrado,2026-08-05,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,0,0,,,480.0,9380,68,metros,1400,9184,102.1,100,83.8,99.3,83.1,
2026-08-03,Tarde,OP-105,SUP-02,TRZ-01,Trenzado,OF-4106,Cerrado,2026-08-05,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,20,0,,,460.0,8739,129,metros,1400,9184,95.2,95.8,81.4,98.5,76.9,
2026-08-03,Noche,OP-101,SUP-03,EXT-01,Extrusion,OF-4107,Cerrado,2026-08-04,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,0,45,Mantenimiento programado,Planificada,435.0,9484,96,metros,1400,9184,103.3,90.6,93.4,99.0,83.8,
2026-08-03,Noche,OP-101,SUP-03,EXT-02,Extrusion,OF-4108,Cerrado,2026-08-05,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,15,65,Ajuste de calidad,No Planificada,400.0,8474,235,metros,1400,9184,92.3,83.3,90.8,97.3,73.6,
2026-08-03,Noche,OP-101,SUP-03,TRZ-01,Trenzado,OF-4109,Cerrado,2026-08-04,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,30,45,Falla mecanica,No Planificada,405.0,8523,66,metros,1400,9184,92.8,84.4,90.2,99.2,75.5,
2026-08-04,Mañana,OP-102,SUP-01,EXT-01,Extrusion,OF-4110,Cerrado,2026-08-06,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,20,90,Mantenimiento programado,Planificada,370.0,8539,528,metros,1400,9184,93.0,77.1,98.9,94.2,71.8,
